INFO  - 2013-10-08 14:41:24.502; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-10-08 14:41:24.502; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=2,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-10-08 14:41:24.502; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-10-08 14:41:24.503; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\Users\Neblich\Desktop\solr\example\solr\collection1\conf\elevate.xml
INFO  - 2013-10-08 14:41:24.515; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-10-08 14:41:24.516; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@37f0e670 main{StandardDirectoryReader(segments_6p:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.518; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=112 status=0 QTime=2 
INFO  - 2013-10-08 14:41:24.522; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-10-08 14:41:24.522; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-10-08 14:41:24.523; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-10-08 14:41:24.525; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@37f0e670 main{StandardDirectoryReader(segments_6p:193:nrt _1j(4.3):C114)}
INFO  - 2013-10-08 14:41:24.549; org.apache.solr.update.DefaultSolrCoreState; Creating new IndexWriter...
INFO  - 2013-10-08 14:41:24.549; org.apache.solr.update.DefaultSolrCoreState; Waiting until IndexWriter is unused... core=collection1
